Division,Hospital,MeasureGroup,Measure,Month,MonthNumber,FiscalYear,Actual,Goal,GoalLabel,MeasureGroupOrder,MeasureFormat,MeasureOrder
US,BLANK,Employee,Turnover Rate,Jul,1,FY19,TBD,TBD,Goal,1,Percent,1
US,BLANK,Employee,Turnover Rate,Aug,2,FY19,TBD,TBD,Goal,1,Percent,2
US,BLANK,Employee,Turnover Rate,Sep,3,FY19,TBD,TBD,Goal,1,Percent,3
US,BLANK,Employee,Turnover Rate,Oct,4,FY19,TBD,TBD,Goal,1,Percent,4
US,BLANK,Employee,Turnover Rate,Nov,5,FY19,TBD,TBD,Goal,1,Percent,5
US,BLANK,Employee,Turnover Rate,Dec,6,FY19,TBD,TBD,Goal,1,Percent,6
US,BLANK,"Quality, Safety, Experience",Patient Experience,Jul,1,FY19,TBD,TBD,Goal,2,Number,7
US,BLANK,"Quality, Safety, Experience",Patient Experience,Aug,2,FY19,TBD,TBD,Goal,2,Number,8
US,BLANK,"Quality, Safety, Experience",Patient Experience,Sep,3,FY19,TBD,TBD,Goal,2,Number,9
US,BLANK,"Quality, Safety, Experience",Patient Experience,Oct,4,FY19,TBD,TBD,Goal,2,Number,10
US,BLANK,"Quality, Safety, Experience",Patient Experience,Nov,5,FY19,TBD,TBD,Goal,2,Number,11
US,BLANK,"Quality, Safety, Experience",Patient Experience,Dec,6,FY19,TBD,TBD,Goal,2,Number,12
US,BLANK,"Quality, Safety, Experience",Quality,Jul,1,FY19,TBD,TBD,Goal,2,Number,13
US,BLANK,"Quality, Safety, Experience",Quality,Aug,2,FY19,TBD,TBD,Goal,2,Number,14
US,BLANK,"Quality, Safety, Experience",Quality,Sep,3,FY19,TBD,TBD,Goal,2,Number,15
US,BLANK,"Quality, Safety, Experience",Quality,Oct,4,FY19,TBD,TBD,Goal,2,Number,16
US,BLANK,"Quality, Safety, Experience",Quality,Nov,5,FY19,TBD,TBD,Goal,2,Number,17
US,BLANK,"Quality, Safety, Experience",Quality,Dec,6,FY19,TBD,TBD,Goal,2,Number,18
US,BLANK,"Quality, Safety, Experience",Safety,Jul,1,FY19,TBD,TBD,Goal,2,Number,19
US,BLANK,"Quality, Safety, Experience",Safety,Aug,2,FY19,TBD,TBD,Goal,2,Number,16
US,BLANK,"Quality, Safety, Experience",Safety,Sep,3,FY19,TBD,TBD,Goal,2,Number,16
US,BLANK,"Quality, Safety, Experience",Safety,Oct,4,FY19,TBD,TBD,Goal,2,Number,16
US,BLANK,"Quality, Safety, Experience",Safety,Nov,5,FY19,TBD,TBD,Goal,2,Number,16
US,BLANK,"Quality, Safety, Experience",Safety,Dec,6,FY19,TBD,TBD,Goal,2,Number,17
US,BLANK,Earnings,Operating Costs,Jul,1,FY19,100000000,116000000,Budget,3,Dollar,17
US,BLANK,Earnings,Operating Costs,Aug,2,FY19,100000000,116000000,Budget,3,Dollar,17
US,BLANK,Earnings,Operating Costs,Sep,3,FY19,100000000,116000000,Budget,3,Dollar,18
US,BLANK,Earnings,Operating Costs,Oct,4,FY19,100000000,116000000,Budget,3,Dollar,19
US,BLANK,Earnings,Operating Costs,Nov,5,FY19,100000000,116000000,Budget,3,Dollar,20
US,BLANK,Earnings,Operating Costs,Dec,6,FY19,100000000,116000000,Budget,3,Dollar,20
US,BLANK,Earnings,Operating Costs Margin,Jul,1,FY19,13.15,15.2,Budget,3,Percent,20
US,BLANK,Earnings,Operating Costs Margin,Aug,2,FY19,15.12,17.16,Budget,3,Percent,20
US,BLANK,Earnings,Operating Costs Margin,Sep,3,FY19,13.13,15.09,Budget,3,Percent,20
US,BLANK,Earnings,Operating Costs Margin,Oct,4,FY19,16.6,17.17,Budget,3,Percent,21
