MeasureName,MeasureLabel,FY17,Actual,Goal,Division,Reporting_Period,Format,Measure Order,QuaterData
Employee Engagement,mean,FY19,1.11,1.12,District of Columbia,,Number,2,CURR
Employee Engagement,mean,FY19,1.13,1.15,US,,Number,2,CURR
Employee Engagement,mean,FY19,1.11,1.11,Great Lakes,,Number,2,CURR
Employee Engagement,mean,FY19,1.13,1.12,Kentucky,,Number,2,CURR
Employee Engagement,mean,FY19,1.11,1.12,Nebraska,,Number,2,CURR
Employee Engagement,mean,FY19,1.13,1.15,Mississippi,,Number,2,CURR
Employee Engagement,mean,FY19,1.11,1.11,Pacific Northwest,,Number,2,CURR
Employee Engagement,mean,FY19,1.13,1.12,New Mexico,,Number,2,CURR
Employee Engagement,mean,FY19,1.11,1.15,Texas,,Number,2,CURR
Employee Engagement,mean,FY19,1.13,1.15,Georgia,,Number,2,CURR
Employee Engagement,mean,FY20,0,2.11,District of Columbia,,Number,2,CURR1
Employee Engagement,mean,FY20,0,2.11,US,,Number,2,CURR1
Employee Engagement,mean,FY20,0,2.11,Great Lakes,,Number,2,CURR1
Employee Engagement,mean,FY20,0,2.11,Kentucky,,Number,2,CURR1
Employee Engagement,mean,FY20,0,2.11,Nebraska,,Number,2,CURR1
Employee Engagement,mean,FY20,0,2.11,Mississippi,,Number,2,CURR1
Employee Engagement,mean,FY20,0,2.11,Pacific Northwest,,Number,2,CURR1
Employee Engagement,mean,FY20,0,2.11,New Mexico,,Number,2,CURR1
Employee Engagement,mean,FY20,0,2.11,Texas,,Number,2,CURR1
Employee Engagement,mean,FY20,0,2.11,Georgia,,Number,2,CURR1
Operating Costs,of Gross Revenue,FY19,-2.7,2.7,District of Columbia,,Percent,9,CURR
Dedicated Services,of Gross Revenue,FY19,5.5,5.4,District of Columbia,,Percent,1,CURR
Operating Costs,of Gross Revenue,FY19,5,6,US,,Percent,9,CURR
Dedicated Services,of Gross Revenue,FY19,7.7,7.7,US,,Percent,1,CURR
Operating Costs,of Gross Revenue,FY19,7,8.2,Great Lakes,,Percent,9,CURR
Dedicated Services,of Gross Revenue,FY19,10,11.1,Great Lakes,,Percent,1,CURR
Operating Costs,of Gross Revenue,FY19,7.7,8,Kentucky,,Percent,9,CURR
Dedicated Services,of Gross Revenue,FY19,10,11,Kentucky,,Percent,1,CURR
Operating Costs,of Gross Revenue,FY19,7.7,8,Nebraska,,Percent,9,CURR
Dedicated Services,of Gross Revenue,FY19,10,11,Nebraska,,Percent,1,CURR
Operating Costs,of Gross Revenue,FY19,7.7,8,Mississippi,,Percent,9,CURR
Dedicated Services,of Gross Revenue,FY19,10,11,Mississippi,,Percent,1,CURR
Operating Costs,of Gross Revenue,FY19,7.7,8,Pacific Northwest,,Percent,9,CURR
Dedicated Services,of Gross Revenue,FY19,10,11,Pacific Northwest,,Percent,1,CURR
Operating Costs,of Gross Revenue,FY19,7.7,8,New Mexico,,Percent,9,CURR
Dedicated Services,of Gross Revenue,FY19,10,11,New Mexico,,Percent,1,CURR
Operating Costs,of Gross Revenue,FY19,7.7,8,Texas,,Percent,9,CURR
Dedicated Services,of Gross Revenue,FY19,10,11,Texas,,Percent,1,CURR
Operating Costs,of Gross Revenue,FY19,7.7,8,Georgia,,Percent,9,CURR
Dedicated Services,of Gross Revenue,FY19,10,11,Georgia,,Percent,1,CURR
Operating Costs,of Gross Revenue,FY20,0,8,District of Columbia,,Percent,9,CURR1
Dedicated Services,of Gross Revenue,FY20,0,11,District of Columbia,,Percent,1,CURR1
Operating Costs,of Gross Revenue,FY20,0,8,US,,Percent,9,CURR1
Dedicated Services,of Gross Revenue,FY20,0,11,US,,Percent,1,CURR1
Operating Costs,of Gross Revenue,FY20,0,8,Great Lakes,,Percent,9,CURR1
Dedicated Services,of Gross Revenue,FY20,0,11,Great Lakes,,Percent,1,CURR1
Operating Costs,of Gross Revenue,FY20,0,8,Kentucky,,Percent,9,CURR1
Dedicated Services,of Gross Revenue,FY20,0,11,Kentucky,,Percent,1,CURR1
Operating Costs,of Gross Revenue,FY20,0,8,Nebraska,,Percent,9,CURR1
Dedicated Services,of Gross Revenue,FY20,0,11,Nebraska,,Percent,1,CURR1
Operating Costs,of Gross Revenue,FY20,0,8,Mississippi,,Percent,9,CURR1
Dedicated Services,of Gross Revenue,FY20,0,11,Mississippi,,Percent,1,CURR1
Operating Costs,of Gross Revenue,FY20,0,8,Pacific Northwest,,Percent,9,CURR1
Dedicated Services,of Gross Revenue,FY20,0,11,Pacific Northwest,,Percent,1,CURR1
Operating Costs,of Gross Revenue,FY20,0,8,New Mexico,,Percent,9,CURR1
Dedicated Services,of Gross Revenue,FY20,0,11,New Mexico,,Percent,1,CURR1
Operating Costs,of Gross Revenue,FY20,0,8,Texas,,Percent,9,CURR1
Dedicated Services,of Gross Revenue,FY20,0,11,Texas,,Percent,1,CURR1
Operating Costs,of Gross Revenue,FY20,0,8,Georgia,,Percent,9,CURR1
Dedicated Services,of Gross Revenue,FY20,0,11,Georgia,,Percent,1,CURR1
Growth,of NR,FY19,-0.7,1.2,District of Columbia,,Percent,7,CURR
Growth,of NR,FY19,1.2,1.2,US,,Percent,7,CURR
Growth,of NR,FY19,1.2,1.2,Great Lakes,,Percent,7,CURR
Growth,of NR,FY19,1.2,1.2,Kentucky,,Percent,7,CURR
Growth,of NR,FY19,1.2,1.2,Nebraska,,Percent,7,CURR
Growth,of NR,FY19,-1.2,1.2,Mississippi,,Percent,7,CURR
Growth,of NR,FY19,1.2,1.2,Pacific Northwest,,Percent,7,CURR
Growth,of NR,FY19,1.2,1.2,New Mexico,,Percent,7,CURR
Growth,of NR,FY19,1.2,1.2,Texas,,Percent,7,CURR
Growth,of NR,FY19,1.2,1.2,Georgia,,Percent,7,CURR
Growth,of NR,FY20,0,2,District of Columbia,,Percent,7,CURR1
Growth,of NR,FY20,0,2,US,,Percent,7,CURR1
Growth,of NR,FY20,0,2,Great Lakes,,Percent,7,CURR1
Growth,of NR,FY20,0,2,Kentucky,,Percent,7,CURR1
Growth,of NR,FY20,0,2,Nebraska,,Percent,7,CURR1
Growth,of NR,FY20,0,2,Mississippi,,Percent,7,CURR1
Growth,of NR,FY20,0,2,Pacific Northwest,,Percent,7,CURR1
Growth,of NR,FY20,0,2,New Mexico,,Percent,7,CURR1
Growth,of NR,FY20,0,2,Texas,,Percent,7,CURR1
Growth,of NR,FY20,0,2,Georgia,,Percent,7,CURR1
Patient Experience,percentile,FY19,50,75,District of Columbia,Apr 2017- Mar 2018,Number,5,CURR
Clinical Engagement,percentile,FY19,50,75,District of Columbia,,Number,3,CURR
Quality,percentile,FY19,50,75,District of Columbia,Apr 2017- Mar 2018,Number,4,CURR
Safety,percentile,FY19,50,75,District of Columbia,Apr 2017- Mar 2018,Number,6,CURR
Patient Experience,percentile,FY19,50,75,US,Apr 2017- Mar 2018,Number,5,CURR
Clinical Engagement,percentile,FY19,50,75,US,,Number,3,CURR
Quality,percentile,FY19,50,75,US,Apr 2017- Mar 2018,Number,4,CURR
Safety,percentile,FY19,50,75,US,Apr 2017- Mar 2018,Number,6,CURR
Patient Experience,percentile,FY19,50,75,Great Lakes,Apr 2017- Mar 2018,Number,5,CURR
Clinical Engagement,percentile,FY19,50,75,Great Lakes,,Number,3,CURR
Quality,percentile,FY19,50,75,Great Lakes,Apr 2017- Mar 2018,Number,4,CURR
