Division,Hospital,MeasureGroup,Measure,Month,MonthNumber,FiscalYear,Actual,Goal,GoalLabel,MeasureGroupOrder,MeasureFormat,MeasureOrder
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,Employee,Turnover Rate,Jul,1,FY19,0.00,0.00,Goal,1,Dollar,1
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,Employee,Turnover Rate,Aug,2,FY19,0.00,0.00,Goal,1,Dollar,2
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,Employee,Turnover Rate,Sep,3,FY19,0.00,0.00,Goal,1,Dollar,3
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,Employee,Turnover Rate,Oct,4,FY19,0.00,0.00,Goal,1,Dollar,4
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,Employee,Turnover Rate,Nov,5,FY19,0.00,0.00,Goal,1,Dollar,5
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,Employee,Turnover Rate,Dec,6,FY19,0.00,0.00,Goal,1,Dollar,6
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,Employee,Turnover Rate,Jan,7,FY19,0.00,0.00,Goal,1,Dollar,7
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,Employee,Turnover Rate,Feb,8,FY19,0.00,0.00,Goal,1,Dollar,8
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,Employee,Turnover Rate,Mar,9,FY19,0.00,0.00,Goal,1,Dollar,9
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,"Quality, Safety, Experience",Patient Experience,Jul,1,FY19,0.00,0.00,Goal,2,Number,10
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,"Quality, Safety, Experience",Patient Experience,Aug,2,FY19,0.00,0.00,Goal,2,Number,11
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,"Quality, Safety, Experience",Patient Experience,Sep,3,FY19,0.00,0.00,Goal,2,Number,12
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,"Quality, Safety, Experience",Patient Experience,Oct,4,FY19,0.00,0.00,Goal,2,Number,13
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,"Quality, Safety, Experience",Patient Experience,Nov,5,FY19,0.00,0.00,Goal,2,Number,14
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,"Quality, Safety, Experience",Patient Experience,Dec,6,FY19,0.00,0.00,Goal,2,Number,15
Colorado-JOA,Bob Wilson Mem Hosp Ulysses-KS,"Quality, Safety, Experience",Patient Experience,Jan,7,FY19,0.00,0.00,Goal,2,Number,16
